hostname,socks5_hostname,socks5_endpoint,city,country,provider,ipv4,ipv6
ch-zrh-wg-202,ch-zrh-wg-socks5-202,ch-zrh-wg-socks5-202.relays.mullvad.net:1080,Zurich,Switzerland,PrivateLayer,46.19.136.226,2a02:29b8:dc01:1831::f002
ch-zrh-wg-401,ch-zrh-wg-socks5-401,ch-zrh-wg-socks5-401.relays.mullvad.net:1080,Zurich,Switzerland,DataPacket,138.199.6.194,2a02:6ea0:d406:1::a18f
ch-zrh-wg-402,ch-zrh-wg-socks5-402,ch-zrh-wg-socks5-402.relays.mullvad.net:1080,Zurich,Switzerland,DataPacket,138.199.6.207,2a02:6ea0:d406:2::a19f
ch-zrh-wg-403,ch-zrh-wg-socks5-403,ch-zrh-wg-socks5-403.relays.mullvad.net:1080,Zurich,Switzerland,DataPacket,138.199.6.220,2a02:6ea0:d406:3::a20f
ch-zrh-wg-404,ch-zrh-wg-socks5-404,ch-zrh-wg-socks5-404.relays.mullvad.net:1080,Zurich,Switzerland,DataPacket,138.199.6.233,2a02:6ea0:d406:4::a21f
ch-zrh-wg-501,ch-zrh-wg-socks5-501,ch-zrh-wg-socks5-501.relays.mullvad.net:1080,Zurich,Switzerland,M247,146.70.134.98,2001:ac8:28:a7::a36f
ch-zrh-wg-502,ch-zrh-wg-socks5-502,ch-zrh-wg-socks5-502.relays.mullvad.net:1080,Zurich,Switzerland,M247,146.70.126.162,2001:ac8:28:a1::f001
ch-zrh-wg-503,ch-zrh-wg-socks5-503,ch-zrh-wg-socks5-503.relays.mullvad.net:1080,Zurich,Switzerland,M247,146.70.126.194,2001:ac8:28:a2::f001
ch-zrh-wg-504,ch-zrh-wg-socks5-504,ch-zrh-wg-socks5-504.relays.mullvad.net:1080,Zurich,Switzerland,M247,146.70.126.226,2001:ac8:28:a3::f001
ch-zrh-wg-505,ch-zrh-wg-socks5-505,ch-zrh-wg-socks5-505.relays.mullvad.net:1080,Zurich,Switzerland,M247,146.70.134.2,2001:ac8:28:a4::a33f
ch-zrh-wg-506,ch-zrh-wg-socks5-506,ch-zrh-wg-socks5-506.relays.mullvad.net:1080,Zurich,Switzerland,M247,146.70.134.34,2001:ac8:28:a5::a34f
ch-zrh-wg-507,ch-zrh-wg-socks5-507,ch-zrh-wg-socks5-507.relays.mullvad.net:1080,Zurich,Switzerland,M247,146.70.134.66,2001:ac8:28:a6::a35f
th-bkk-wg-001,th-bkk-wg-socks5-001,th-bkk-wg-socks5-001.relays.mullvad.net:1080,Bangkok,Thailand,Zenlayer,156.59.50.194,2602:ffe4:c09:10a::f001
th-bkk-wg-002,th-bkk-wg-socks5-002,th-bkk-wg-socks5-002.relays.mullvad.net:1080,Bangkok,Thailand,Zenlayer,156.59.50.226,2602:ffe4:c09:109::f101
tr-ist-wg-001,tr-ist-wg-socks5-001,tr-ist-wg-socks5-001.relays.mullvad.net:1080,Istanbul,Turkey,DataPacket,149.102.229.129,2a02:6ea0:e813::f001
tr-ist-wg-002,tr-ist-wg-socks5-002,tr-ist-wg-socks5-002.relays.mullvad.net:1080,Istanbul,Turkey,DataPacket,149.102.229.158,2a02:6ea0:e813:1::f001
gb-lon-wg-201,gb-lon-wg-socks5-201,gb-lon-wg-socks5-201.relays.mullvad.net:1080,London,UK,xtom,185.248.85.3,2a0b:89c1:3::a33f
gb-lon-wg-202,gb-lon-wg-socks5-202,gb-lon-wg-socks5-202.relays.mullvad.net:1080,London,UK,xtom,185.248.85.18,2a0b:89c1:3::a34f
gb-lon-wg-203,gb-lon-wg-socks5-203,gb-lon-wg-socks5-203.relays.mullvad.net:1080,London,UK,xtom,185.248.85.33,2a0b:89c1:3::a35f
gb-lon-wg-204,gb-lon-wg-socks5-204,gb-lon-wg-socks5-204.relays.mullvad.net:1080,London,UK,xtom,185.248.85.48,2a0b:89c1:3::a36f
gb-lon-wg-301,gb-lon-wg-socks5-301,gb-lon-wg-socks5-301.relays.mullvad.net:1080,London,UK,M247,146.70.119.66,2001:ac8:31:f007::a39f
gb-lon-wg-302,gb-lon-wg-socks5-302,gb-lon-wg-socks5-302.relays.mullvad.net:1080,London,UK,M247,146.70.119.2,2001:ac8:31:f005::a37f
gb-lon-wg-304,gb-lon-wg-socks5-304,gb-lon-wg-socks5-304.relays.mullvad.net:1080,London,UK,M247,146.70.119.162,2001:ac8:31:f00a::f001
